GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
password-app,com.ucoruh.password,AuthManager,12,225,1,25,4,75,1,24,0,11
password-app,com.ucoruh.password,PasswordManager.CustomHashTable.Entry,0,12,0,0,0,5,0,1,0,1
password-app,com.ucoruh.password,PasswordStorageFactory,4,18,1,2,0,4,1,3,0,2
password-app,com.ucoruh.password,FilePasswordStorage.XORLinkedList.Node,0,18,0,0,0,7,0,1,0,1
password-app,com.ucoruh.password,Password.PasswordHistoryEntry,0,15,0,0,0,6,0,3,0,3
password-app,com.ucoruh.password,PasswordManager.PendingOperationsQueue,0,118,0,12,0,36,0,14,0,8
password-app,com.ucoruh.password,AutoLoginManager,6,245,0,28,2,90,0,29,0,13
password-app,com.ucoruh.password,Password.PasswordHistory,0,84,0,4,0,25,0,7,0,5
password-app,com.ucoruh.password,Password.PasswordHistory.Node,0,15,0,0,0,6,0,1,0,1
password-app,com.ucoruh.password,PasswordManager.UpdateCredentialCommand,2,97,4,4,2,21,4,3,0,3
password-app,com.ucoruh.password,EncryptionUtil,14,122,0,4,4,26,0,7,0,5
password-app,com.ucoruh.password,PasswordManager.CommandStack,5,71,2,4,1,20,2,8,0,7
password-app,com.ucoruh.password,PasswordManager,0,707,0,57,0,189,0,60,0,29
password-app,com.ucoruh.password,PasswordGenerator,24,833,18,134,5,158,16,75,0,15
password-app,com.ucoruh.password,PasswordManager.CommandStack.Node,0,9,0,0,0,4,0,1,0,1
password-app,com.ucoruh.password,PasswordManager.AddCredentialCommand,0,72,0,0,0,14,0,4,0,4
password-app,com.ucoruh.password,PasswordManager.ServiceUsage,0,21,0,0,0,7,0,4,0,4
password-app,com.ucoruh.password,PasswordApp.new Runnable() {...},2,3,0,0,2,1,1,1,1,1
password-app,com.ucoruh.password,PasswordManager.AccessMatrix,0,133,0,12,0,30,0,14,0,8
password-app,com.ucoruh.password,FilePasswordStorage.XORLinkedList,0,104,0,4,0,28,0,8,0,6
password-app,com.ucoruh.password,PasswordApp,20,259,0,25,8,89,1,23,1,8
password-app,com.ucoruh.password,PasswordManager.PendingOperationsQueue.Node,0,9,0,0,0,4,0,1,0,1
password-app,com.ucoruh.password,DatabasePasswordStorage,0,526,6,24,0,156,6,18,0,9
password-app,com.ucoruh.password,PasswordGenerator.HuffmanNode,0,46,1,3,0,14,1,5,0,4
password-app,com.ucoruh.password,PasswordManager.CustomHashTable,12,358,3,39,4,89,3,33,0,15
password-app,com.ucoruh.password,PlatformManager,0,68,0,6,0,15,0,9,0,6
password-app,com.ucoruh.password,Password,0,68,0,0,0,22,0,11,0,11
password-app,com.ucoruh.password,PasswordManager.ServiceGraph,0,370,4,36,0,86,4,28,0,12
password-app,com.ucoruh.password,FilePasswordStorage,23,337,3,27,6,96,4,25,1,13
password-app,com.ucoruh.password,StorageType,0,15,0,0,0,3,0,1,0,1
